stop_id,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station
A512,ст.м. "Голосіївська" (1),50.397167,30.509661,,0,
A513,Мінський проспект (32),50.522972,30.451096,,0,
A514,ж/м Корчувате,50.362732,30.555586,,0,
A515,просп. Григоренка,50.392746,30.635984,,0,
A516,вул. Селянська,50.552738,30.33527,,0,
A521,масив Лісовий (63),50.487782,30.630619,,0,
A522,просп. Свободи (72),50.514973,30.421398,,0,
A523,ж/м Західний,50.431473,30.28404,,0,
A524,вул. Ахматової (35),50.406357,30.621267,,0,
A525,Рембаза,50.422771,30.699781,,0,
A526,АП-2,50.442654,30.632383,,0,
A527,АП-7,50.425709,30.68611,,0,
A528,АП-1,50.395142,30.495829,,0,
A529,АП-6 (Пухівська),50.508476,30.641325,,0,
A530,АП-5,50.489697,30.386322,,0,
A531,Кудрі,50.422688,30.544107,,0,
A533,Автопарк - 2,50.442902,30.630869,,0,
A537,компл. Комфорттаун,50.438766,30.613371,,0,
A539,ж/м Виноградар,50.511604,30.426613,,0,
A540,ДВС(70),50.46883,30.59823,,0,
A549,вул. Березняківська (87),50.434345,30.613457,,0,
A550,пр. Перемоги (23),50.454556,30.357042,,0,
A556,Куренівський р-к,50.495121,30.459553,,0,
A56,ст.м. "Виставковий центр",50.381588,30.477705,,0,
A560,Харківське шосе(18),50.423294,30.645124,,0,
A563,озеро Сонячне 1,50.41774,30.642464,,0,
A568,бул. Кольцова,50.417297,30.388527,,0,
A569,пл. В.Марченка,50.481979,30.404989,,0,
A57,Кільцева дорога ,50.423061,30.370113,,0,
A571,вул. Квітки Цісик,50.540443,30.354416,,0,
A573,м-в Лісовий (33),50.485489,30.643843,,0,
A574,пл. Лівий берег (95),50.422337,30.602787,,0,
A577,пл. Дарн (63),50.442211,30.628109,,0,
A578,ТРЕД  Шевченка,50.412762,30.410221,,0,
A58,Аеропорт "Київ",50.410416,30.436989,,0,
A580,вул. Жилянська,50.433189,30.513367,,0,
A581,Держав. Адміістрація,50.42078,30.45705,,0,
A585,пл.Лівий берег (108),50.42197,30.601931,,0,
A586,вул. Звіринецька,50.405632,30.554947,,0,
A587,ст.м. "Печерська",50.427456,30.539194,,0,
A591,з-д Алмаз,50.507088,30.633829,,0,
A592,ст.м. "Палац спорту "(55),50.43877,30.521339,,0,
A597,готель "Хрещатик",50.452179,30.526644,,0,
A599,Софіївська пл.,50.45462,30.516577,,0,
A6,вул. Данькевича,50.521584,30.608761,,0,
A60,ст.м. "Академмістечко",50.465565,30.355511,,0,
A602,ст.м. "Петрівка" 1,50.487049,30.49789,,0,
A603,вул. Милославська 1,50.53241,30.610584,,0,
A607,вул. Милославська 1(73),50.531796,30.598507,,0,
A608,ст.м. Петрівка1(101),50.487659,30.49782,,0,
A61,просп. Леся Курбаса,50.426025,30.365519,,0,
A614,м Позняки,50.398907,30.634071,,0,
A615,вул.Урлівська,50.410946,30.615757,,0,
A628,ДВРЗ,50.451794,30.681038,,0,
A639,АП-6 (100),50.508678,30.640303,,0,
A64,ст.м. "Святошин" (90),50.457615,30.390806,,0,
A641,Куренівське депо,50.493515,30.45166,,0,
A642,ст.м.Дніпро,50.441555,30.55892,,0,
A644,Ватутіна,50.495487,30.575373,,0,
A649,с. Чапаевка,50.333836,30.558786,,0,
A650,ст.м. "Видубичі" (вис),50.400021,30.560829,,0,
A652,вул. Північна (вис),50.527279,30.516514,,0,
A653,ст.м. "Лівобережна" (пр.),50.451263,30.598213,,0,
A654,вул. Курнатовського (вис),50.486694,30.602819,,0,
A655,Автобаза,50.498188,30.620552,,0,
A659,вул. Луначарського (вис),50.459347,30.590414,,0,
